id	title	publisher	dateOfPublication	placeOfPublication	series
9571b9ac-2632-4be3-a490-e93bdabcb230	The private world of Jean Giono	Duke University Press,	1967.	Durham, N.C. :	
0113748b-a730-413d-babf-30b798170f61	The centennial : address to the people of Ohio	[publisher not identified],	1874(?)	[Place of publication not identified] :	
c19a7e71-b8e4-4978-ba1c-a67ff3a915d5	Famous pianists & their technique	R. B. Luce,	1974	Washington :	
0a469286-eefb-412b-9780-af09b34b064e	Strong mothers, strong sons : raising adolescent boys in the '90s	HarperPerennial,	1995.	New York, NY :	
32f27bd3-747d-4990-9cee-9cf1025aabbc	Collaborative peer review : the role of faculty in improving college teaching	Graduate School of Education and Human Development, George Washington University,	1994.	Washington, DC :	
aeca3c52-4409-4479-b971-f9e0a2995aa2	Thinking and problem solving	Academic Press,	©1994.	San Diego :	
641065f2-e6a4-46db-b2d3-4cee613849d9	From slave trade to "legitimate" commerce : the commercial transition in nineteenth-century West Africa : papers from a conference of the Centre of Commonwealth Studies, University of Stirling	Cambridge University Press,	1995.	Cambridge [England] ;	
6f3dbf31-dfec-4df5-9f33-e111f1ebadbd	"Sometimes in the wrong, but never in doubt" : George S. Benson and the education of the new religious right	University of Tennessee Press,	©1994.	Knoxville :	
6c093247-d3c5-4d04-b8c3-f85562efadee	Self-disclosure	Sage Publications,	©1993.	Newbury Park :	
e3b0c77c-a8ff-4a0f-8f95-e9881bf08db5	Sacha Guitry	La Table ronde,	[1971]	[Paris] :	
21d13a27-10ad-4aaa-be37-b04de368716b	Women's Rights National Historical Park, Seneca Falls, New York	U.S. Dept. of the Interior, National Park Service,	1985.	[Washington, D.C.?] :	
24fff4dd-5572-4c02-af91-d2f1e7a0f390	The cinematic society : the voyeur's gaze	Sage Publications,	1995.	London ;	
45948fbd-f9e6-4b5b-b3f9-c672f12cfefd	The age of the common school: 1830-1865	Wiley,	[1974]	New York :	
95c844cc-accb-4be4-be87-ec759dcd024e	Genetic factors in nutrition	Academic Press,	1984.	Orlando :	
f419370a-5e49-4776-b50b-57c5f6c31aeb	The "Miscellanies."	Yale University Press,	1994.	New Haven ;	
d6be2707-08d9-47fb-a20f-bb4cf9c75dc3	Mrs. Ted Bliss	Hyperion,	©1995.	New York :	
f267bbfe-9bdd-4ccf-9a73-361edf9622b1	Reviewing the behavioral science knowledge base on technology transfer	U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health ;	1995.	[Bethesda, Md.] :	
4198f562-1e47-4441-b6cf-f02efcb3d77c	Mr. Putter and Tabby pick the pears	Harcourt Brace,	©1995.	San Diego :	
b9983975-2db5-439d-ace7-233155ae008e	Party politics in contemporary western Europe	F. Cass,	1984.	London, England ;	
cbc92c2c-7414-40dc-bc56-00985e3fdb06	Hunter of worlds	N. Doubleday,	©1977.	Garden City, N.Y. :	
98e48e04-59eb-4ccb-b7c7-d9995ed17a5c	The silent angel	Picador USA,	1995, ©1994.	New York :	
39558b07-c2e9-4aaa-907c-b07d32a277de	Group work practice in a troubled society : problems and opportunities	Haworth Press,	©1995.	New York :	
2f4a1087-1f55-4185-a754-beb63b6c01e0	Nelson Algren	Twayne Publishers,	[1975]	New York :	
643b3409-f3bb-4b79-811f-c355a8bec3d0	Emotion, inhibition, and health	Hogrefe & Huber Publishers,	©1993.	Seattle :	
28bc8c57-c578-41fc-9c08-0be9bfeb40b3	Behind the playground walls : sexual abuse in preschools	Guilford Press,	©1993.	New York :	
73d43a24-1a41-4894-83c2-0e86dbb912e9	Exhibitor's application for space	[publisher not identified],	1876.	[Place of publication not identified] :	
559ecf89-e621-48a2-b829-c70601fbaebe	Distortions	Vintage Books,	1991, ©1976.	New York :	
87b08e99-b82e-49ab-b663-c6c7aa3847a7	The post-rapture diner	University of Pittsburgh Press,	1996.	Pittsburgh, PA :	
1320e6a0-83bc-48c2-8eb7-799f4804f46d	Les cavernes de Niaux : art préhistorique en Ariège	Seuil,	©1995.	Paris :	
acdcc7cb-84e4-4e67-92a0-4babcf075525	Chess-dream in a garden	Candlewick Press,	1993.	Cambridge, Mass. :	
4c430ecc-1f06-4226-b5e5-db14fb5c6192	Defensive rapture	Sun & Moon Press,	1993.	Los Angeles :	
03f7c76c-e913-4671-9612-a2e6eddd64c4	Substance abuse and mental health statistics sourcebook	SAMHSA, Public Health Service, U.S. Dept. of Health and Human Services,	1995.	Rockville, Md. (5600 Fishers Lane, Rockville 20857) :	
c8a525b5-72e4-4b7b-9fff-891b48e6cba1	Murder in Miami : an analysis of homicide patterns and trends in Dade County (Miami) Florida, 1917-1983	University Press of America,	©1984.	Lanham, MD :	
201d7811-f1ce-4ce3-b9b4-b4e982074cfd	Mountain goats in Olympic National Park : biology and management of an introduced species [microform]	U.S. Dept. of the Interior, National Park Service,	1994.	[Washington, D.C.?] :	
1f53d6b2-7fa8-49bf-aab1-eb1ebb51a85f	The collected works of Pierre Louys	Liveright, inc.,	[©1932]	New York :	
507e6ad9-4ff1-491f-a99a-1aac51cb16dd	Impacts of antibiotic-resistant bacteria : Thanks to penicillin-- He will come home!	Office of Technology Assessment, Congress of the U.S. :	[1995]	Washington, DC :	
03e167ce-34ec-43bb-9455-041fee5c73ae	The great American Fourth of July parade : a verse play for radio	University of Pittsburgh Press,	[1975]	Pittsburgh :	
fd50954c-e8e7-4857-8261-83ff4f2da517	The regulation of international trade	Routledge,	1995.	London ;	
e9ec6da4-f6c1-4607-a5bd-3abdec3bb0de	Bereishis = : Genesis	Mesorah Publications,	©1995.	Brooklyn, N.Y. :	
